account_id,user_id,event_name,event_ts_utc,event_month,feature_name,metadata_json
acct_000001,acct_000001_owner,signup,2024-02-01T19:17:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000001,acct_000001_owner,first_invoice_created,2024-02-08T19:17:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000002,acct_000002_owner,signup,2024-03-24T09:43:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000002,acct_000002_owner,first_invoice_created,2024-04-02T09:43:00+00:00,2024-04-01,,"{""source"": ""simulation""}"
acct_000002,acct_000002_owner,first_payment_received,2024-04-02T09:43:00+00:00,2024-04-01,,"{""source"": ""simulation""}"
acct_000003,acct_000003_owner,signup,2024-01-01T09:13:00+00:00,2024-01-01,,"{""source"": ""simulation""}"
acct_000003,acct_000003_owner,first_invoice_created,2024-01-06T09:13:00+00:00,2024-01-01,,"{""source"": ""simulation""}"
acct_000003,acct_000003_owner,first_payment_received,2024-01-06T09:13:00+00:00,2024-01-01,,"{""source"": ""simulation""}"
acct_000004,acct_000004_owner,signup,2024-09-07T19:41:00+00:00,2024-09-01,,"{""source"": ""simulation""}"
acct_000004,acct_000004_owner,first_invoice_created,2024-09-17T19:41:00+00:00,2024-09-01,,"{""source"": ""simulation""}"
acct_000004,acct_000004_owner,first_payment_received,2024-09-22T19:41:00+00:00,2024-09-01,,"{""source"": ""simulation""}"
acct_000004,acct_000004_owner,app_integration_connected,2024-09-30T19:41:00+00:00,2024-09-01,,"{""source"": ""simulation""}"
acct_000004,acct_000004_owner,plan_upgrade,2024-12-02T19:41:00+00:00,2024-12-01,,"{""source"": ""simulation""}"
acct_000005,acct_000005_owner,signup,2024-08-19T12:51:00+00:00,2024-08-01,,"{""source"": ""simulation""}"
acct_000005,acct_000005_owner,first_invoice_created,2024-08-25T12:51:00+00:00,2024-08-01,,"{""source"": ""simulation""}"
acct_000005,acct_000005_owner,first_payment_received,2024-08-31T12:51:00+00:00,2024-08-01,,"{""source"": ""simulation""}"
acct_000006,acct_000006_owner,signup,2024-07-11T12:09:00+00:00,2024-07-01,,"{""source"": ""simulation""}"
acct_000006,acct_000006_owner,first_invoice_created,2024-07-12T12:09:00+00:00,2024-07-01,,"{""source"": ""simulation""}"
acct_000006,acct_000006_owner,first_payment_received,2024-07-20T12:09:00+00:00,2024-07-01,,"{""source"": ""simulation""}"
acct_000007,acct_000007_owner,signup,2024-02-03T14:06:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000007,acct_000007_owner,first_invoice_created,2024-02-05T14:06:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000007,acct_000007_owner,first_payment_received,2024-02-13T14:06:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000007,acct_000007_owner,app_integration_connected,2024-02-24T14:06:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000007,acct_000007_owner,feature_activated,2024-03-03T14:06:00+00:00,2024-03-01,bank_feed_sync,"{""source"": ""simulation""}"
acct_000008,acct_000008_owner,signup,2024-05-02T19:29:00+00:00,2024-05-01,,"{""source"": ""simulation""}"
acct_000008,acct_000008_owner,first_invoice_created,2024-05-12T19:29:00+00:00,2024-05-01,,"{""source"": ""simulation""}"
acct_000008,acct_000008_owner,first_payment_received,2024-05-19T19:29:00+00:00,2024-05-01,,"{""source"": ""simulation""}"
acct_000009,acct_000009_owner,signup,2024-02-18T12:53:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000009,acct_000009_owner,first_invoice_created,2024-02-27T12:53:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000009,acct_000009_owner,first_payment_received,2024-02-29T12:53:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000009,acct_000009_owner,app_integration_connected,2024-03-03T12:53:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000010,acct_000010_owner,signup,2024-02-02T18:14:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000010,acct_000010_owner,first_invoice_created,2024-02-03T18:14:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000010,acct_000010_owner,first_payment_received,2024-02-08T18:14:00+00:00,2024-02-01,,"{""source"": ""simulation""}"
acct_000011,acct_000011_owner,signup,2024-04-04T14:17:00+00:00,2024-04-01,,"{""source"": ""simulation""}"
acct_000011,acct_000011_owner,first_invoice_created,2024-04-10T14:17:00+00:00,2024-04-01,,"{""source"": ""simulation""}"
acct_000012,acct_000012_owner,signup,2024-03-12T13:13:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000012,acct_000012_owner,first_invoice_created,2024-03-19T13:13:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000012,acct_000012_owner,first_payment_received,2024-03-26T13:13:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000012,acct_000012_owner,app_integration_connected,2024-04-10T13:13:00+00:00,2024-04-01,,"{""source"": ""simulation""}"
acct_000012,acct_000012_owner,feature_activated,2024-04-14T13:13:00+00:00,2024-04-01,bank_feed_sync,"{""source"": ""simulation""}"
acct_000012,acct_000012_owner,plan_upgrade,2024-06-16T13:13:00+00:00,2024-06-01,,"{""source"": ""simulation""}"
acct_000013,acct_000013_owner,signup,2024-03-18T19:15:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000013,acct_000013_owner,first_invoice_created,2024-03-26T19:15:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000013,acct_000013_owner,first_payment_received,2024-03-27T19:15:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000014,acct_000014_owner,signup,2024-07-09T18:44:00+00:00,2024-07-01,,"{""source"": ""simulation""}"
acct_000014,acct_000014_owner,first_invoice_created,2024-07-16T18:44:00+00:00,2024-07-01,,"{""source"": ""simulation""}"
acct_000014,acct_000014_owner,first_payment_received,2024-07-16T18:44:00+00:00,2024-07-01,,"{""source"": ""simulation""}"
acct_000015,acct_000015_owner,signup,2024-01-08T08:51:00+00:00,2024-01-01,,"{""source"": ""simulation""}"
acct_000015,acct_000015_owner,first_invoice_created,2024-01-10T08:51:00+00:00,2024-01-01,,"{""source"": ""simulation""}"
acct_000015,acct_000015_owner,first_payment_received,2024-01-11T08:51:00+00:00,2024-01-01,,"{""source"": ""simulation""}"
acct_000015,acct_000015_owner,app_integration_connected,2024-01-20T08:51:00+00:00,2024-01-01,,"{""source"": ""simulation""}"
acct_000016,acct_000016_owner,signup,2024-05-03T11:58:00+00:00,2024-05-01,,"{""source"": ""simulation""}"
acct_000016,acct_000016_owner,first_invoice_created,2024-05-09T11:58:00+00:00,2024-05-01,,"{""source"": ""simulation""}"
acct_000017,acct_000017_owner,signup,2024-08-13T18:29:00+00:00,2024-08-01,,"{""source"": ""simulation""}"
acct_000017,acct_000017_owner,first_invoice_created,2024-08-22T18:29:00+00:00,2024-08-01,,"{""source"": ""simulation""}"
acct_000017,acct_000017_owner,first_payment_received,2024-08-29T18:29:00+00:00,2024-08-01,,"{""source"": ""simulation""}"
acct_000018,acct_000018_owner,signup,2024-03-08T19:35:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000018,acct_000018_owner,first_invoice_created,2024-03-16T19:35:00+00:00,2024-03-01,,"{""source"": ""simulation""}"
acct_000019,acct_000019_owner,signup,2024-07-12T11:08:00+00:00,2024-07-01,,"{""source"": ""simulation""}"
acct_000019,acct_000019_owner,first_invoice_created,2024-07-19T11:08:00+00:00,2024-07-01,,"{""source"": ""simulation""}"
acct_000019,acct_000019_owner,first_payment_received,2024-07-23T11:08:00+00:00,2024-07-01,,"{""source"": ""simulation""}"
acct_000019,acct_000019_owner,app_integration_connected,2024-08-03T11:08:00+00:00,2024-08-01,,"{""source"": ""simulation""}"
acct_000020,acct_000020_owner,signup,2024-01-04T10:40:00+00:00,2024-01-01,,"{""source"": ""simulation""}"
acct_000020,acct_000020_owner,first_invoice_created,2024-01-13T10:40:00+00:00,2024-01-01,,"{""source"": ""simulation""}"
