account_id,month,mrr_start,mrr_end,plan_tier,status,feature_x_adopted_flag,is_new_customer,is_plan_upgrade,feature_adoption_lift_eligible,mrr_delta,bridge_component
acct_000001,2024-01-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-02-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-03-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-04-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-05-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-06-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-07-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-08-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-09-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-10-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-11-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2024-12-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2025-01-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2025-02-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2025-03-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2025-04-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2025-05-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000001,2025-06-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000002,2024-01-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000002,2024-02-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000002,2024-03-01,0.0,0.0,free,prospect,0,0,0,0,0.0,Other/Residual
acct_000002,2024-04-01,0.0,49.0,starter,active,0,1,0,0,49.0,New Customers
acct_000002,2024-05-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2024-06-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2024-07-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2024-08-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2024-09-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2024-10-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2024-11-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2024-12-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2025-01-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2025-02-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2025-03-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2025-04-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2025-05-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000002,2025-06-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-01-01,0.0,49.0,starter,active,0,1,0,0,49.0,New Customers
acct_000003,2024-02-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-03-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-04-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-05-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-06-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-07-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-08-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-09-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-10-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-11-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2024-12-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2025-01-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2025-02-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2025-03-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
acct_000003,2025-04-01,49.0,49.0,starter,active,0,0,0,0,0.0,Other/Residual
